,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftAvgCard36,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,StatusCatStarAll,DemCluster,DemAge,DemMedHomeValue,DemPctVeterans,StatusCat96NK [A],StatusCat96NK [E],StatusCat96NK [F],StatusCat96NK [L],StatusCat96NK [N],StatusCat96NK [S],DemGender [F],DemGender [M],DemGender [U],DemHomeOwner [H],DemHomeOwner [U]
78,2,2,1,1,25.0,20.0,20.0,15.0,15,29,12,26,23,5,11,10,0,40,,59500.0,30,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
79,1,2,1,2,16.0,16.0,13.0,16.0,19,53,11,19,27,4,7,10,0,36,67.0,61700.0,27,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
80,4,4,1,1,10.0,5.5,5.5,5.0,20,32,13,26,25,6,11,9,0,43,70.0,66000.0,18,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
81,1,1,1,1,15.0,15.0,15.0,15.0,19,19,10,16,14,4,7,6,0,40,41.0,74400.0,42,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
82,6,14,2,3,3.0,3.67,3.57,5.0,15,69,12,31,60,6,16,20,0,35,,56500.0,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
83,4,21,2,9,10.0,14.75,10.95,17.5,19,111,30,51,103,6,17,29,1,50,71.0,89400.0,24,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
84,5,18,2,8,15.0,15.0,12.61,15.0,17,75,13,35,64,6,17,24,1,40,41.0,67900.0,40,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
85,1,1,1,1,25.0,25.0,25.0,25.0,24,24,6,16,14,2,6,5,0,50,69.0,44400.0,15,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
86,2,19,0,8,10.0,10.0,9.74,,26,92,10,32,59,5,5,24,1,40,71.0,76900.0,34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
87,3,3,1,1,25.0,21.67,21.67,25.0,24,30,12,27,24,6,13,11,0,47,,53100.0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
88,3,13,2,10,10.0,10.0,8.92,10.0,20,110,13,30,57,6,13,23,1,43,,57600.0,19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
89,11,38,7,23,5.0,5.09,4.97,5.14,15,127,14,34,83,7,18,34,1,35,69.0,66900.0,40,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
90,5,15,1,6,5.0,5.6,4.87,6.0,15,97,12,31,64,5,13,26,1,39,50.0,68300.0,25,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
91,6,38,4,15,9.0,7.83,6.39,7.75,17,128,10,30,78,5,16,31,1,40,,102400.0,29,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
92,1,20,0,11,15.0,15.0,10.7,,21,124,12,30,76,6,6,29,1,24,47.0,138100.0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
93,4,18,1,10,15.0,15.0,9.11,15.0,24,123,11,33,70,6,17,32,1,32,65.0,45900.0,21,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
94,3,3,0,0,21.0,13.67,13.67,,15,32,12,25,25,5,5,9,0,32,73.0,50600.0,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
95,3,20,1,10,10.0,5.67,5.1,5.0,6,121,19,37,79,7,14,29,1,22,59.0,298900.0,28,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
96,3,22,2,14,16.0,14.67,8.95,15.5,22,130,13,35,73,6,17,33,1,28,,249000.0,22,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
97,3,5,2,4,15.0,13.33,10.0,12.5,26,45,10,29,37,5,15,15,1,44,29.0,126400.0,36,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
98,1,2,1,1,15.0,3.0,9.0,3.0,25,30,11,23,22,4,9,8,0,24,54.0,121400.0,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
99,4,7,2,4,9.0,7.75,6.29,8.0,16,45,15,34,37,6,15,15,1,15,60.0,95900.0,11,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
100,3,3,1,1,15.0,13.67,13.67,16.0,18,27,12,26,23,6,13,11,0,24,83.0,89500.0,25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
101,4,20,3,11,10.0,11.25,7.85,10.0,18,109,6,14,43,2,6,19,1,24,,93700.0,44,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
102,2,5,1,4,20.0,16.0,10.8,20.0,20,63,13,32,45,6,14,17,0,43,,57300.0,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
103,1,6,0,2,20.0,20.0,17.83,,18,110,13,32,62,6,6,26,0,35,43.0,101900.0,31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
104,2,3,1,1,10.0,7.5,7.0,5.0,16,21,11,18,16,5,8,7,0,35,43.0,101800.0,28,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
105,3,3,2,2,20.0,14.33,14.33,16.5,16,29,8,23,24,4,12,10,0,22,,92500.0,14,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
106,1,8,0,2,15.0,25.0,14.88,,18,68,13,32,54,6,6,21,0,12,35.0,102800.0,26,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
107,3,18,1,11,5.0,5.0,4.72,5.0,19,111,5,18,50,2,7,19,1,35,77.0,201800.0,32,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
108,6,28,4,17,10.0,10.5,8.75,10.75,16,126,15,35,86,6,17,34,1,17,44.0,78600.0,18,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
109,2,2,1,1,25.0,15.0,15.0,5.0,15,29,10,20,20,3,7,7,0,11,45.0,96400.0,29,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
110,4,5,2,2,6.0,6.75,6.6,6.0,15,24,13,22,21,5,9,8,1,24,72.0,124500.0,27,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
111,2,10,1,5,15.0,15.0,9.6,15.0,18,120,14,33,62,6,15,25,1,38,,194700.0,28,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
112,1,17,0,8,15.0,15.0,9.59,,18,86,12,25,58,5,5,21,1,22,43.0,161000.0,20,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
113,5,20,4,13,7.0,6.8,6.05,6.75,16,102,6,14,41,2,6,19,1,22,,161000.0,20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
114,2,2,2,2,15.0,12.5,12.5,12.5,16,24,4,9,9,2,5,5,1,22,,161000.0,20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
115,3,4,3,4,25.0,18.33,15.0,18.33,16,44,16,32,39,6,14,14,0,22,64.0,95100.0,10,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
116,3,20,2,11,10.0,8.5,10.59,10.0,23,130,13,31,75,6,14,29,1,44,39.0,62100.0,23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
117,2,7,1,3,15.0,12.5,12.14,10.0,19,76,14,28,50,6,12,18,0,49,34.0,73900.0,16,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
118,2,6,1,2,19.0,18.0,11.0,19.0,17,73,14,29,49,6,12,17,0,13,54.0,86000.0,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
119,3,3,2,2,20.0,14.0,14.0,15.0,17,34,12,29,26,6,14,12,0,35,55.0,86000.0,29,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
120,1,1,1,1,15.0,15.0,15.0,15.0,16,16,11,16,13,4,6,5,0,40,37.0,86400.0,36,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
121,5,7,3,4,5.0,6.0,6.0,6.67,19,52,12,31,38,6,14,16,1,44,,60900.0,12,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
122,2,2,0,0,16.0,13.0,13.0,,18,28,10,23,21,4,4,9,0,35,57.0,89700.0,29,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
123,5,13,1,4,6.0,6.8,5.69,7.0,22,56,12,34,46,6,17,20,1,39,,68500.0,24,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
124,4,14,2,6,10.0,9.25,5.29,10.0,15,122,13,31,52,6,13,22,1,51,53.0,58000.0,33,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
125,1,1,0,0,15.0,15.0,15.0,,15,15,8,10,10,2,2,3,0,46,,67500.0,26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
126,1,1,1,1,20.0,20.0,20.0,20.0,16,16,12,17,14,5,7,6,0,50,,49700.0,24,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
127,3,17,3,9,10.0,6.67,6.71,6.67,18,63,13,33,61,5,15,21,1,49,67.0,62100.0,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
128,4,5,2,3,10.0,13.0,15.4,11.0,15,44,14,35,43,6,16,16,1,17,29.0,54200.0,32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
129,2,9,2,7,16.0,16.5,10.22,16.5,24,105,11,29,60,5,14,25,0,42,,87700.0,39,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
130,3,23,1,10,10.0,10.0,6.09,10.0,24,130,12,33,74,6,16,32,1,50,46.0,45000.0,23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
131,3,17,1,6,3.0,10.0,4.71,10.0,18,105,13,34,65,6,17,27,1,49,39.0,61700.0,24,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
132,2,2,1,1,20.0,15.0,15.0,10.0,16,29,12,25,23,5,11,10,0,44,52.0,72800.0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
133,1,7,1,5,16.0,16.0,12.71,16.0,15,77,14,31,54,5,12,19,1,34,,73500.0,29,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
134,4,7,2,3,12.0,12.0,11.29,12.0,16,41,13,33,37,6,16,15,0,40,50.0,82800.0,21,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
