,TARGET_B,ID,TARGET_D,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftAvgCard36,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,StatusCat96NK,StatusCatStarAll,DemCluster,DemAge,DemGender,DemHomeOwner,DemMedHomeValue,DemPctVeterans,DemMedIncome
51,1,15384,15.0,2,2,1,1,15.0,10.0,10.0,5.0,18,29,10,23,21,4,9,8,A,0,28,59.0,F,H,45200.0,31,35302.0
52,1,15445,20.0,1,13,0,6,20.0,20.0,10.23,,19,103,13,31,60,6,6,25,A,1,25,42.0,M,H,78200.0,25,58530.0
53,1,185774,12.0,6,44,2,10,10.0,19.0,15.48,19.0,5,187,29,51,118,11,22,38,A,0,0,,F,H,65000.0,0,58530.0
54,1,15416,30.0,1,1,1,1,20.0,20.0,20.0,20.0,24,24,8,18,16,3,7,6,N,0,25,47.0,M,H,85900.0,25,51013.0
55,0,15573,,3,18,3,13,10.0,9.0,4.85,9.0,17,125,13,28,68,6,13,27,S,1,43,53.0,F,H,47100.0,24,43756.0
56,1,15566,10.0,2,14,0,4,13.0,11.0,7.21,,21,86,12,30,59,5,5,23,A,1,49,,F,H,68300.0,31,43756.0
57,0,15549,,2,3,1,1,20.0,16.0,14.0,20.0,24,44,11,28,33,6,13,13,A,0,44,65.0,F,U,68300.0,40,43756.0
58,1,15651,10.0,4,14,2,7,10.0,8.5,6.93,9.5,23,127,12,32,68,6,15,29,A,0,24,42.0,F,H,149700.0,40,53466.0
59,0,190355,,2,12,2,12,10.0,12.5,9.0,12.5,16,100,4,12,35,2,6,18,E,1,22,81.0,F,U,72800.0,8,0.0
60,0,15659,,2,2,0,0,16.0,13.0,13.0,,16,20,12,18,17,5,5,6,N,0,30,38.0,F,H,45600.0,29,40262.0
61,1,15668,45.0,1,3,0,2,20.0,20.0,9.33,,26,68,9,20,34,4,4,12,A,0,44,56.0,M,H,70700.0,27,40262.0
62,1,15697,20.0,2,3,0,1,20.0,16.0,14.0,,19,44,14,31,35,6,6,13,A,0,43,,U,U,53500.0,37,43481.0
63,0,15704,,3,3,2,2,15.0,10.33,10.33,8.0,18,32,12,28,25,6,13,11,A,0,40,51.0,F,H,66200.0,20,51338.0
64,1,1799,10.0,8,21,6,12,9.0,7.25,9.24,7.67,4,75,25,46,88,11,21,32,A,1,27,,M,H,86000.0,35,51338.0
65,0,15756,,4,9,1,2,5.0,6.25,5.78,5.0,18,52,12,32,40,6,15,16,A,0,41,69.0,F,H,46700.0,24,42855.0
66,1,15772,10.0,5,18,3,13,8.0,7.6,5.67,6.67,16,130,11,30,70,6,16,30,S,1,32,,F,H,43900.0,43,28618.0
67,0,45922,,1,3,0,1,15.0,15.0,10.33,,17,52,10,23,27,4,4,12,A,0,5,59.0,M,H,105500.0,43,45910.0
68,0,15857,,1,5,1,2,15.0,15.0,12.0,15.0,21,64,10,26,44,4,10,15,A,0,40,50.0,F,H,76900.0,28,53804.0
69,0,15874,,2,2,2,2,25.0,14.0,14.0,14.0,23,33,14,30,28,6,13,11,A,0,34,52.0,M,H,124400.0,27,78433.0
70,1,15912,6.0,6,9,2,4,6.0,6.5,6.33,6.5,20,52,14,35,42,6,16,16,S,1,35,69.0,M,H,93000.0,31,59061.0
71,0,15902,,2,2,0,0,20.0,15.0,15.0,,18,31,10,24,22,4,4,9,A,0,44,33.0,F,H,82200.0,31,59061.0
72,0,15940,,4,15,3,10,5.0,5.0,5.33,5.0,17,105,12,27,62,4,11,22,S,1,41,73.0,M,U,86100.0,0,0.0
73,1,15965,5.0,5,16,2,8,4.0,4.2,3.69,4.5,16,124,13,32,62,6,15,27,A,1,41,70.0,M,H,42900.0,23,37148.0
74,0,15945,,2,2,2,2,20.0,20.0,20.0,20.0,23,29,10,20,19,4,9,8,A,0,36,67.0,M,H,40500.0,25,37148.0
75,1,16014,10.0,2,13,1,6,20.0,17.5,10.54,15.0,26,116,10,32,62,5,16,30,A,1,40,,M,U,62800.0,26,48625.0
76,0,15996,,2,4,1,3,15.0,12.0,9.0,15.0,24,56,10,28,39,5,12,14,A,0,43,,F,U,65100.0,24,48625.0
77,0,16011,,1,18,0,10,20.0,20.0,10.06,,21,121,13,33,75,6,6,30,A,1,36,61.0,M,U,62500.0,29,48625.0
78,0,15052,,2,2,1,1,25.0,20.0,20.0,15.0,15,29,12,26,23,5,11,10,A,0,40,,F,U,59500.0,30,0.0
79,0,16049,,1,2,1,2,16.0,16.0,13.0,16.0,19,53,11,19,27,4,7,10,A,0,36,67.0,F,U,61700.0,27,0.0
80,1,16099,12.0,4,4,1,1,10.0,5.5,5.5,5.0,20,32,13,26,25,6,11,9,A,0,43,70.0,F,H,66000.0,18,41736.0
81,1,16102,15.0,1,1,1,1,15.0,15.0,15.0,15.0,19,19,10,16,14,4,7,6,F,0,40,41.0,F,H,74400.0,42,41736.0
82,0,16136,,6,14,2,3,3.0,3.67,3.57,5.0,15,69,12,31,60,6,16,20,A,0,35,,F,U,56500.0,32,40898.0
83,0,4132,,4,21,2,9,10.0,14.75,10.95,17.5,19,111,30,51,103,6,17,29,A,1,50,71.0,F,U,89400.0,24,40898.0
84,0,16138,,5,18,2,8,15.0,15.0,12.61,15.0,17,75,13,35,64,6,17,24,S,1,40,41.0,M,H,67900.0,40,40898.0
85,1,16175,30.0,1,1,1,1,25.0,25.0,25.0,25.0,24,24,6,16,14,2,6,5,N,0,50,69.0,F,U,44400.0,15,45566.0
86,0,16215,,2,19,0,8,10.0,10.0,9.74,,26,92,10,32,59,5,5,24,A,1,40,71.0,M,H,76900.0,34,0.0
87,0,16230,,3,3,1,1,25.0,21.67,21.67,25.0,24,30,12,27,24,6,13,11,A,0,47,,M,U,53100.0,28,39914.0
88,1,16247,10.0,3,13,2,10,10.0,10.0,8.92,10.0,20,110,13,30,57,6,13,23,S,1,43,,U,U,57600.0,19,0.0
89,1,15800,5.0,11,38,7,23,5.0,5.09,4.97,5.14,15,127,14,34,83,7,18,34,S,1,35,69.0,F,H,66900.0,40,42537.0
90,1,16329,7.0,5,15,1,6,5.0,5.6,4.87,6.0,15,97,12,31,64,5,13,26,S,1,39,50.0,F,H,68300.0,25,49836.0
91,1,16973,8.0,6,38,4,15,9.0,7.83,6.39,7.75,17,128,10,30,78,5,16,31,S,1,40,,F,U,102400.0,29,0.0
92,0,16394,,1,20,0,11,15.0,15.0,10.7,,21,124,12,30,76,6,6,29,A,1,24,47.0,M,H,138100.0,20,49601.0
93,0,16480,,4,18,1,10,15.0,15.0,9.11,15.0,24,123,11,33,70,6,17,32,A,1,32,65.0,F,H,45900.0,21,45037.0
94,0,16450,,3,3,0,0,21.0,13.67,13.67,,15,32,12,25,25,5,5,9,A,0,32,73.0,M,U,50600.0,8,45037.0
95,1,188284,5.0,3,20,1,10,10.0,5.67,5.1,5.0,6,121,19,37,79,7,14,29,S,1,22,59.0,F,H,298900.0,28,53517.0
96,1,15648,20.0,3,22,2,14,16.0,14.67,8.95,15.5,22,130,13,35,73,6,17,33,A,1,28,,F,H,249000.0,22,73547.0
97,0,15720,,3,5,2,4,15.0,13.33,10.0,12.5,26,45,10,29,37,5,15,15,A,1,44,29.0,F,H,126400.0,36,73547.0
98,0,16532,,1,2,1,1,15.0,3.0,9.0,3.0,25,30,11,23,22,4,9,8,A,0,24,54.0,M,H,121400.0,24,73547.0
99,0,16562,,4,7,2,4,9.0,7.75,6.29,8.0,16,45,15,34,37,6,15,15,A,1,15,60.0,F,H,95900.0,11,51354.0
100,1,16643,12.5,3,3,1,1,15.0,13.67,13.67,16.0,18,27,12,26,23,6,13,11,N,0,24,83.0,F,H,89500.0,25,66208.0
101,1,188246,10.0,4,20,3,11,10.0,11.25,7.85,10.0,18,109,6,14,43,2,6,19,E,1,24,,M,U,93700.0,44,0.0
102,0,16662,,2,5,1,4,20.0,16.0,10.8,20.0,20,63,13,32,45,6,14,17,A,0,43,,U,U,57300.0,24,45926.0
103,0,18300,,1,6,0,2,20.0,20.0,17.83,,18,110,13,32,62,6,6,26,A,0,35,43.0,M,H,101900.0,31,78801.0
104,0,16688,,2,3,1,1,10.0,7.5,7.0,5.0,16,21,11,18,16,5,8,7,N,0,35,43.0,F,H,101800.0,28,67969.0
105,0,16723,,3,3,2,2,20.0,14.33,14.33,16.5,16,29,8,23,24,4,12,10,A,0,22,,F,U,92500.0,14,38494.0
106,0,16764,,1,8,0,2,15.0,25.0,14.88,,18,68,13,32,54,6,6,21,A,0,12,35.0,F,H,102800.0,26,82719.0
107,1,16771,5.0,3,18,1,11,5.0,5.0,4.72,5.0,19,111,5,18,50,2,7,19,S,1,35,77.0,F,H,201800.0,32,82719.0
108,1,16774,10.0,6,28,4,17,10.0,10.5,8.75,10.75,16,126,15,35,86,6,17,34,S,1,17,44.0,F,H,78600.0,18,82719.0
109,1,16777,35.0,2,2,1,1,25.0,15.0,15.0,5.0,15,29,10,20,20,3,7,7,E,0,11,45.0,F,H,96400.0,29,0.0
110,1,16813,10.0,4,5,2,2,6.0,6.75,6.6,6.0,15,24,13,22,21,5,9,8,N,1,24,72.0,M,U,124500.0,27,0.0
111,0,24281,,2,10,1,5,15.0,15.0,9.6,15.0,18,120,14,33,62,6,15,25,A,1,38,,F,U,194700.0,28,78656.0
112,0,16837,,1,17,0,8,15.0,15.0,9.59,,18,86,12,25,58,5,5,21,A,1,22,43.0,F,H,161000.0,20,78656.0
113,1,188155,8.0,5,20,4,13,7.0,6.8,6.05,6.75,16,102,6,14,41,2,6,19,E,1,22,,U,U,161000.0,20,0.0
114,1,190040,12.0,2,2,2,2,15.0,12.5,12.5,12.5,16,24,4,9,9,2,5,5,E,1,22,,M,U,161000.0,20,0.0
115,1,16863,50.0,3,4,3,4,25.0,18.33,15.0,18.33,16,44,16,32,39,6,14,14,A,0,22,64.0,F,U,95100.0,10,73793.0
116,1,16972,12.0,3,20,2,11,10.0,8.5,10.59,10.0,23,130,13,31,75,6,14,29,S,1,44,39.0,M,U,62100.0,23,56388.0
117,0,16889,,2,7,1,3,15.0,12.5,12.14,10.0,19,76,14,28,50,6,12,18,A,0,49,34.0,F,U,73900.0,16,56388.0
118,0,88361,,2,6,1,2,19.0,18.0,11.0,19.0,17,73,14,29,49,6,12,17,A,0,13,54.0,U,U,86000.0,29,0.0
119,0,16946,,3,3,2,2,20.0,14.0,14.0,15.0,17,34,12,29,26,6,14,12,A,0,35,55.0,F,H,86000.0,29,60293.0
120,0,17021,,1,1,1,1,15.0,15.0,15.0,15.0,16,16,11,16,13,4,6,5,F,0,40,37.0,M,U,86400.0,36,43934.0
121,1,17089,5.0,5,7,3,4,5.0,6.0,6.0,6.67,19,52,12,31,38,6,14,16,S,1,44,,F,U,60900.0,12,43241.0
122,1,17094,15.0,2,2,0,0,16.0,13.0,13.0,,18,28,10,23,21,4,4,9,A,0,35,57.0,F,H,89700.0,29,57017.0
123,1,17102,7.0,5,13,1,4,6.0,6.8,5.69,7.0,22,56,12,34,46,6,17,20,S,1,39,,F,U,68500.0,24,0.0
124,0,17117,,4,14,2,6,10.0,9.25,5.29,10.0,15,122,13,31,52,6,13,22,S,1,51,53.0,F,H,58000.0,33,42412.0
125,0,17118,,1,1,0,0,15.0,15.0,15.0,,15,15,8,10,10,2,2,3,E,0,46,,M,U,67500.0,26,41189.0
126,1,17145,20.0,1,1,1,1,20.0,20.0,20.0,20.0,16,16,12,17,14,5,7,6,F,0,50,,F,U,49700.0,24,40197.0
127,1,17217,10.0,3,17,3,9,10.0,6.67,6.71,6.67,18,63,13,33,61,5,15,21,A,1,49,67.0,M,U,62100.0,19,40308.0
128,1,16756,15.0,4,5,2,3,10.0,13.0,15.4,11.0,15,44,14,35,43,6,16,16,A,1,17,29.0,M,H,54200.0,32,43084.0
129,1,24311,3.0,2,9,2,7,16.0,16.5,10.22,16.5,24,105,11,29,60,5,14,25,A,0,42,,F,U,87700.0,39,0.0
130,0,17268,,3,23,1,10,10.0,10.0,6.09,10.0,24,130,12,33,74,6,16,32,S,1,50,46.0,M,H,45000.0,23,29767.0
131,0,17283,,3,17,1,6,3.0,10.0,4.71,10.0,18,105,13,34,65,6,17,27,S,1,49,39.0,U,U,61700.0,24,0.0
132,0,17279,,2,2,1,1,20.0,15.0,15.0,10.0,16,29,12,25,23,5,11,10,A,0,44,52.0,M,U,72800.0,30,51138.0
133,1,17255,20.0,1,7,1,5,16.0,16.0,12.71,16.0,15,77,14,31,54,5,12,19,A,1,34,,F,U,73500.0,29,54339.0
134,0,17333,,4,7,2,3,12.0,12.0,11.29,12.0,16,41,13,33,37,6,16,15,A,0,40,50.0,F,U,82800.0,21,53597.0
135,1,17452,32.0,4,7,3,5,40.0,27.5,18.86,28.33,18,45,25,46,70,10,20,27,L,1,25,,F,U,83200.0,27,53597.0
136,1,17378,15.0,1,4,1,3,20.0,20.0,11.25,20.0,17,53,14,31,38,6,14,15,A,0,34,31.0,F,H,106400.0,25,53635.0
137,0,17517,,1,4,1,3,15.0,15.0,12.25,15.0,16,64,12,28,45,4,10,14,A,0,35,,F,U,87300.0,24,0.0
138,1,17418,13.0,3,4,3,3,11.0,11.0,9.75,11.0,16,27,13,27,27,6,13,11,A,0,15,43.0,F,H,85300.0,14,65546.0
139,0,17435,,1,1,1,1,25.0,25.0,25.0,25.0,16,16,12,16,13,5,7,6,F,0,25,38.0,M,H,92700.0,7,73864.0
140,0,17511,,1,2,1,1,20.0,20.0,17.5,20.0,27,33,10,25,25,4,10,10,A,0,35,33.0,M,H,86800.0,22,40491.0
141,0,17590,,1,11,1,8,30.0,30.0,19.55,30.0,20,105,14,29,71,6,13,26,A,1,35,49.0,F,H,167600.0,24,86922.0
142,0,17608,,4,16,3,10,12.0,11.5,8.13,11.33,22,119,13,35,72,6,17,32,S,1,35,58.0,F,H,188500.0,32,108658.0
143,1,5331,14.0,9,22,7,11,15.0,13.33,11.55,13.0,4,112,30,50,102,11,22,41,S,1,24,,U,U,161800.0,30,84071.0
144,0,17636,,2,6,1,4,20.0,20.0,16.67,20.0,18,74,13,33,53,6,16,22,A,0,22,,M,H,107700.0,27,84071.0
145,0,17363,,2,2,1,1,15.0,15.0,15.0,15.0,20,29,10,23,21,4,10,9,A,0,17,32.0,M,U,80100.0,30,55991.0
146,0,17367,,6,7,5,5,7.0,9.33,8.43,9.8,19,35,12,31,31,6,16,14,S,1,40,31.0,M,H,91200.0,24,55991.0
147,0,17578,,4,4,4,4,10.0,10.0,10.0,10.0,20,33,13,31,31,6,14,12,A,1,35,31.0,F,H,127400.0,24,0.0
148,0,17664,,1,1,0,0,20.0,20.0,20.0,,15,15,8,10,10,3,3,4,E,0,32,59.0,F,H,57400.0,30,25742.0
149,1,17714,26.0,2,7,1,4,21.0,21.0,12.43,21.0,17,87,15,33,59,6,14,23,A,1,11,66.0,F,H,77000.0,30,43231.0
150,0,188727,,3,11,2,4,10.0,15.0,11.91,15.5,5,69,12,34,53,6,17,21,A,1,32,67.0,F,U,56700.0,28,43231.0
151,1,186462,8.0,3,28,2,17,10.0,5.0,4.29,5.0,4,129,19,37,82,6,14,31,S,1,40,81.0,F,H,65400.0,23,43231.0
152,0,14124,,1,22,1,5,15.0,15.0,11.95,15.0,4,147,18,35,85,7,14,30,A,0,24,75.0,M,U,134800.0,27,57000.0
153,0,5960,,2,12,2,7,20.0,18.0,12.83,18.0,17,101,20,39,90,6,16,25,A,1,23,46.0,M,H,150400.0,57,57000.0
154,1,17791,25.0,2,4,2,3,25.0,25.0,25.0,25.0,18,44,13,34,38,6,17,17,A,0,24,58.0,F,H,96900.0,18,50858.0
155,1,17772,10.0,2,2,1,1,5.0,10.0,10.0,15.0,20,21,11,18,16,4,7,6,N,0,24,87.0,F,H,260200.0,43,50858.0
156,0,17782,,3,5,2,2,15.0,13.33,10.8,12.5,18,33,12,30,30,6,15,13,A,0,15,40.0,F,U,94000.0,15,0.0
157,0,17820,,2,29,2,10,10.0,10.0,9.17,10.0,22,128,13,35,80,6,17,34,S,1,14,,F,U,111600.0,26,0.0
158,0,17833,,2,2,0,0,15.0,12.5,12.5,,18,28,12,26,23,5,5,10,A,0,12,70.0,F,H,98800.0,37,72359.0
159,0,17872,,4,15,2,9,25.0,14.25,15.4,10.0,15,130,13,34,73,6,16,31,S,1,34,79.0,F,H,90900.0,31,67280.0
160,0,16733,,4,20,1,11,20.0,20.0,16.7,20.0,17,126,15,36,75,6,17,30,S,1,22,,U,H,121900.0,18,67280.0
161,0,17898,,3,4,1,1,4.0,6.33,5.5,5.0,16,24,13,24,21,6,11,9,N,0,32,59.0,F,H,56900.0,18,32482.0
162,0,17881,,4,4,1,1,14.0,9.25,9.25,11.0,19,31,13,27,24,6,12,10,A,1,32,41.0,F,H,48000.0,26,32482.0
163,1,17921,8.0,5,7,3,4,9.0,8.2,7.29,8.33,16,41,13,33,34,6,15,15,A,0,28,69.0,F,H,73200.0,41,49658.0
164,0,17961,,2,15,0,9,10.0,12.0,8.8,,16,126,12,32,74,5,5,32,A,1,47,,F,U,45100.0,19,36806.0
165,0,18055,,3,6,1,3,20.0,15.0,9.5,10.0,27,65,11,30,43,5,14,17,A,0,47,,M,U,53600.0,25,41021.0
166,0,188333,,0,9,0,4,25.0,0.0,16.0,,6,85,23,23,68,8,8,27,A,1,50,73.0,U,U,43700.0,30,0.0
167,0,17988,,3,15,2,9,20.0,25.67,19.73,25.0,18,117,13,30,71,5,14,29,S,1,50,,M,H,39600.0,21,28519.0
168,0,18019,,1,1,1,1,20.0,20.0,20.0,20.0,25,25,7,17,15,3,7,6,N,0,39,29.0,M,H,58700.0,24,43818.0
169,1,18038,16.0,2,8,2,7,16.0,15.5,12.38,15.5,25,77,11,32,60,6,17,22,A,1,47,,U,U,54800.0,30,0.0
170,0,18067,,2,9,0,6,15.0,13.5,8.0,,19,130,12,26,61,5,5,24,A,1,47,67.0,F,H,62500.0,27,44461.0
171,1,18104,12.0,3,11,1,8,13.0,12.33,10.55,13.0,16,123,13,30,67,6,13,29,S,1,22,43.0,M,U,91500.0,18,59375.0
172,1,18089,25.0,5,9,5,8,17.0,16.6,13.78,16.6,21,76,14,32,55,6,16,22,A,1,22,47.0,M,H,99400.0,19,59375.0
173,0,18091,,3,9,1,6,25.0,21.67,15.78,20.0,27,81,11,32,58,5,16,23,A,1,22,61.0,M,H,81000.0,34,59375.0
174,0,18115,,1,7,0,5,25.0,25.0,18.14,,18,104,15,29,62,6,6,25,A,1,47,56.0,F,H,59600.0,15,42313.0
175,0,17023,,1,1,1,1,23.0,23.0,23.0,23.0,17,17,11,16,14,5,7,6,F,0,40,25.0,F,H,71700.0,36,42313.0
176,0,18126,,5,8,4,7,10.0,11.2,9.63,11.5,20,53,13,32,43,6,16,18,S,1,44,,F,U,73300.0,19,0.0
177,1,18196,12.0,6,43,2,17,13.0,11.33,7.47,10.0,15,127,12,34,80,5,16,32,S,1,36,,M,U,46900.0,28,40493.0
178,0,18182,,2,2,2,2,20.0,17.5,17.5,17.5,21,36,10,28,28,4,12,11,A,0,36,,F,U,46900.0,28,40493.0
179,0,18207,,2,2,1,1,15.0,12.5,12.5,10.0,17,29,11,24,22,4,10,9,A,0,36,,F,U,58200.0,37,37509.0
180,1,13782,10.0,2,23,1,14,10.0,15.0,18.04,20.0,6,130,25,45,98,5,14,33,A,1,0,83.0,F,H,48500.0,0,37127.0
181,0,18229,,2,13,0,8,50.0,50.0,21.15,,18,119,13,35,76,6,6,34,A,1,34,52.0,F,U,74200.0,26,0.0
182,1,18266,5.0,9,28,7,19,5.0,5.0,5.0,5.0,17,92,13,30,62,6,17,27,S,1,30,72.0,M,H,48700.0,27,33629.0
183,1,18257,5.0,4,9,4,6,1.0,4.75,4.0,4.75,15,44,16,33,37,6,14,14,A,1,38,,M,H,48700.0,27,33629.0
