TARGET_B,ID,TARGET_D,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftAvgCard36,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,StatusCat96NK,StatusCatStarAll,DemCluster,DemAge,DemGender,DemHomeOwner,DemMedHomeValue,DemPctVeterans,DemMedIncome
1,00102224,$6.00,3,16,2,13,$6.00,$6.33,$6.13,$6.00,17,107,12,23,40,6,12,21,S,1,15,,U,U,"$143,900",30,$0
1,00187915,$20.00,2,13,1,8,$13.11,$9.06,$3.93,$5.00,19,75,7,15,29,2,6,13,E,1,36,,F,U,"$134,400",41,$0
0,00182029,,1,1,0,0,$20.00,$20.00,$20.00,,16,16,12,17,14,5,5,6,F,0,16,,F,U,"$68,200",47,$0
0,00188644,,2,4,0,0,$10.00,$15.00,$11.50,,5,32,15,33,30,6,6,13,A,0,17,39,M,H,"$115,100",30,"$63,000"
1,00164513,$50.00,2,2,1,1,$20.00,$12.50,$12.50,$5.00,18,27,11,23,19,5,11,9,A,0,24,50,F,H,$0,33,$0
0,00102526,,6,12,3,5,$6.00,$6.00,$6.00,$5.33,23,45,11,32,40,5,15,16,S,1,34,45,F,U,$0,37,$0
0,00190267,,3,7,1,3,$15.00,$11.67,$8.14,$15.00,24,74,4,12,26,2,6,13,E,0,35,,M,U,"$207,900",48,$0
0,00035996,,7,15,3,8,$5.00,$5.29,$5.67,$5.67,17,93,12,30,58,6,15,22,S,1,39,,M,H,"$104,400",35,"$54,385"
0,00176929,,4,5,1,1,$10.00,$41.50,$35.20,$50.00,18,33,14,33,33,6,15,13,A,0,45,,F,U,"$70,000",37,$0
1,00187678,$5.00,4,9,3,7,$7.00,$5.50,$5.22,$5.67,21,44,6,14,19,2,6,8,E,1,18,,F,U,"$62,500",28,$0
1,00006789,$10.00,1,20,1,8,$25.00,$36.00,$26.95,$36.00,18,105,21,39,101,6,17,30,A,1,53,80,M,U,"$51,500",37,"$44,947"
0,00190212,,2,5,0,2,$15.00,$12.00,$9.20,,18,57,4,12,19,2,2,10,E,0,12,,M,U,"$43,200",52,$0
0,00029903,,3,21,2,14,$8.00,$7.67,$6.57,$7.50,22,105,5,13,42,2,6,19,E,1,00,61,M,H,"$237,700",31,"$86,560"
1,00127346,$10.00,1,1,1,1,$15.00,$15.00,$15.00,$15.00,19,19,7,11,10,2,4,4,E,0,14,47,F,U,"$218,900",26,$0
0,00115374,,3,15,0,5,$20.00,$13.33,$10.07,,18,98,13,34,74,6,6,32,S,1,49,67,U,U,"$93,800",33,$0
0,00083613,,2,2,1,1,$13.00,$16.50,$16.50,$20.00,16,17,12,17,15,6,9,7,N,0,05,67,F,H,"$79,600",31,"$52,981"
0,00174124,,1,1,1,1,$20.00,$20.00,$20.00,$20.00,16,16,5,8,8,2,4,4,E,0,00,53,M,H,"$78,100",8,"$40,491"
1,00005532,$15.00,2,14,2,6,$14.00,$10.00,$9.93,$10.00,4,64,30,50,103,6,16,24,S,1,37,76,M,H,"$169,000",50,"$83,169"
1,00189258,$15.00,5,11,3,7,$15.00,$10.20,$8.64,$10.33,4,53,6,14,21,1,5,8,E,1,34,,F,U,"$135,400",15,$0
1,00027634,$5.00,5,16,3,7,$15.00,$7.80,$5.38,$9.67,25,103,8,25,43,4,13,17,A,0,35,,M,U,"$123,600",22,$0
1,00190726,$10.00,4,14,2,7,$17.00,$17.00,$11.43,$16.50,16,124,13,29,58,6,16,29,A,0,00,47,F,U,"$87,500",44,"$40,898"
0,00118908,,3,5,3,4,$15.00,$16.33,$15.80,$16.33,9,41,23,39,44,9,16,17,F,0,25,50,M,U,"$192,800",0,"$71,033"
0,00175262,,2,2,1,1,$45.00,$32.50,$32.50,$20.00,18,19,15,21,17,6,9,7,N,0,25,,F,U,"$103,100",24,$0
1,00031911,$5.00,5,7,4,5,$5.00,$4.80,$4.29,$3.50,16,41,15,32,32,6,14,13,A,1,12,,F,U,"$80,000",37,"$57,800"
0,00133244,,2,4,1,3,$15.00,$15.00,$12.50,$15.00,25,44,10,20,21,5,10,11,A,1,27,,M,H,"$81,400",33,"$44,194"
0,00103130,,7,18,4,10,$10.00,$7.00,$6.28,$6.50,19,57,13,33,48,6,17,21,S,1,43,41,M,U,"$54,900",27,"$45,164"
1,00034174,$12.00,2,12,1,6,$12.00,$11.00,$6.08,$12.00,20,112,15,34,69,6,14,28,A,0,36,67,F,H,"$52,900",35,"$53,400"
1,00015038,$25.00,1,10,1,9,$19.00,$19.00,$12.80,$19.00,17,108,14,32,66,6,15,27,A,1,40,75,M,U,"$84,900",21,"$59,500"
0,00186974,,1,3,1,1,$10.00,$25.00,$13.67,$25.00,7,21,16,23,21,5,8,7,N,0,40,,M,U,"$84,900",21,$0
0,00189536,,2,2,1,1,$16.00,$13.00,$13.00,$16.00,24,28,10,23,22,4,10,9,A,0,42,41,M,H,"$111,700",42,"$59,500"
1,00015046,$10.00,3,22,3,16,$10.00,$6.67,$2.64,$6.67,24,131,4,13,49,2,7,24,A,1,49,59,F,U,"$59,500",23,$0
1,00015066,$10.00,4,24,2,10,$11.00,$10.25,$8.96,$10.00,19,111,13,33,73,6,17,31,S,1,51,51,F,U,"$44,400",33,"$40,000"
1,00015086,$10.00,6,22,3,9,$25.00,$15.17,$14.18,$13.33,16,99,14,36,76,6,17,28,S,1,49,,F,U,"$59,500",23,$0
0,00015163,,1,1,0,0,$20.00,$20.00,$20.00,,20,20,11,18,16,4,4,6,F,0,51,31,F,H,"$45,400",11,"$37,236"
1,00015219,$25.00,1,1,1,1,$25.00,$25.00,$25.00,$25.00,21,21,10,17,15,4,7,6,N,0,40,,F,U,"$73,000",36,"$50,528"
0,00015237,,2,2,0,0,$20.00,$20.00,$20.00,,16,20,12,18,17,5,5,6,N,0,49,54,F,U,"$54,300",25,"$43,729"
0,00015277,,2,16,2,12,$15.00,$15.00,$11.31,$15.00,19,122,13,33,76,6,16,33,A,1,43,47,F,H,"$50,200",25,"$41,094"
1,00015332,$10.00,2,13,1,6,$11.00,$10.00,$6.54,$11.00,17,77,13,32,56,6,15,22,S,1,24,80,M,U,"$72,300",30,$0
0,00015311,,1,1,1,1,$25.00,$25.00,$25.00,$25.00,21,21,11,18,16,5,8,7,F,0,22,51,M,H,"$107,100",32,"$50,832"
1,00015349,$30.00,1,1,0,0,$20.00,$20.00,$20.00,,19,19,10,14,12,4,4,4,F,0,29,75,M,U,"$65,100",30,$0
1,00015350,$15.00,2,2,1,1,$20.00,$17.50,$17.50,$15.00,18,23,12,24,21,6,12,10,N,0,22,70,F,U,"$107,100",32,"$77,654"
1,00015384,$15.00,2,2,1,1,$15.00,$10.00,$10.00,$5.00,18,29,10,23,21,4,9,8,A,0,28,59,F,H,"$45,200",31,"$35,302"
1,00015445,$20.00,1,13,0,6,$20.00,$20.00,$10.23,,19,103,13,31,60,6,6,25,A,1,25,42,M,H,"$78,200",25,"$58,530"
1,00185774,$12.00,6,44,2,10,$10.00,$19.00,$15.48,$19.00,5,187,29,51,118,11,22,38,A,0,00,,F,H,"$65,000",0,"$58,530"
1,00015416,$30.00,1,1,1,1,$20.00,$20.00,$20.00,$20.00,24,24,8,18,16,3,7,6,N,0,25,47,M,H,"$85,900",25,"$51,013"
0,00015573,,3,18,3,13,$10.00,$9.00,$4.85,$9.00,17,125,13,28,68,6,13,27,S,1,43,53,F,H,"$47,100",24,"$43,756"
1,00015566,$10.00,2,14,0,4,$13.00,$11.00,$7.21,,21,86,12,30,59,5,5,23,A,1,49,,F,H,"$68,300",31,"$43,756"
0,00015549,,2,3,1,1,$20.00,$16.00,$14.00,$20.00,24,44,11,28,33,6,13,13,A,0,44,65,F,U,"$68,300",40,"$43,756"
1,00015651,$10.00,4,14,2,7,$10.00,$8.50,$6.93,$9.50,23,127,12,32,68,6,15,29,A,0,24,42,F,H,"$149,700",40,"$53,466"
0,00190355,,2,12,2,12,$10.00,$12.50,$9.00,$12.50,16,100,4,12,35,2,6,18,E,1,22,81,F,U,"$72,800",8,$0
0,00015659,,2,2,0,0,$16.00,$13.00,$13.00,,16,20,12,18,17,5,5,6,N,0,30,38,F,H,"$45,600",29,"$40,262"
1,00015668,$45.00,1,3,0,2,$20.00,$20.00,$9.33,,26,68,9,20,34,4,4,12,A,0,44,56,M,H,"$70,700",27,"$40,262"
1,00015697,$20.00,2,3,0,1,$20.00,$16.00,$14.00,,19,44,14,31,35,6,6,13,A,0,43,,U,U,"$53,500",37,"$43,481"
0,00015704,,3,3,2,2,$15.00,$10.33,$10.33,$8.00,18,32,12,28,25,6,13,11,A,0,40,51,F,H,"$66,200",20,"$51,338"
1,00001799,$10.00,8,21,6,12,$9.00,$7.25,$9.24,$7.67,4,75,25,46,88,11,21,32,A,1,27,,M,H,"$86,000",35,"$51,338"
0,00015756,,4,9,1,2,$5.00,$6.25,$5.78,$5.00,18,52,12,32,40,6,15,16,A,0,41,69,F,H,"$46,700",24,"$42,855"
1,00015772,$10.00,5,18,3,13,$8.00,$7.60,$5.67,$6.67,16,130,11,30,70,6,16,30,S,1,32,,F,H,"$43,900",43,"$28,618"
0,00045922,,1,3,0,1,$15.00,$15.00,$10.33,,17,52,10,23,27,4,4,12,A,0,05,59,M,H,"$105,500",43,"$45,910"
0,00015857,,1,5,1,2,$15.00,$15.00,$12.00,$15.00,21,64,10,26,44,4,10,15,A,0,40,50,F,H,"$76,900",28,"$53,804"
0,00015874,,2,2,2,2,$25.00,$14.00,$14.00,$14.00,23,33,14,30,28,6,13,11,A,0,34,52,M,H,"$124,400",27,"$78,433"
1,00015912,$6.00,6,9,2,4,$6.00,$6.50,$6.33,$6.50,20,52,14,35,42,6,16,16,S,1,35,69,M,H,"$93,000",31,"$59,061"
0,00015902,,2,2,0,0,$20.00,$15.00,$15.00,,18,31,10,24,22,4,4,9,A,0,44,33,F,H,"$82,200",31,"$59,061"
0,00015940,,4,15,3,10,$5.00,$5.00,$5.33,$5.00,17,105,12,27,62,4,11,22,S,1,41,73,M,U,"$86,100",0,$0
1,00015965,$5.00,5,16,2,8,$4.00,$4.20,$3.69,$4.50,16,124,13,32,62,6,15,27,A,1,41,70,M,H,"$42,900",23,"$37,148"
0,00015945,,2,2,2,2,$20.00,$20.00,$20.00,$20.00,23,29,10,20,19,4,9,8,A,0,36,67,M,H,"$40,500",25,"$37,148"
1,00016014,$10.00,2,13,1,6,$20.00,$17.50,$10.54,$15.00,26,116,10,32,62,5,16,30,A,1,40,,M,U,"$62,800",26,"$48,625"
0,00015996,,2,4,1,3,$15.00,$12.00,$9.00,$15.00,24,56,10,28,39,5,12,14,A,0,43,,F,U,"$65,100",24,"$48,625"
0,00016011,,1,18,0,10,$20.00,$20.00,$10.06,,21,121,13,33,75,6,6,30,A,1,36,61,M,U,"$62,500",29,"$48,625"
0,00015052,,2,2,1,1,$25.00,$20.00,$20.00,$15.00,15,29,12,26,23,5,11,10,A,0,40,,F,U,"$59,500",30,$0
0,00016049,,1,2,1,2,$16.00,$16.00,$13.00,$16.00,19,53,11,19,27,4,7,10,A,0,36,67,F,U,"$61,700",27,$0
1,00016099,$12.00,4,4,1,1,$10.00,$5.50,$5.50,$5.00,20,32,13,26,25,6,11,9,A,0,43,70,F,H,"$66,000",18,"$41,736"
1,00016102,$15.00,1,1,1,1,$15.00,$15.00,$15.00,$15.00,19,19,10,16,14,4,7,6,F,0,40,41,F,H,"$74,400",42,"$41,736"
0,00016136,,6,14,2,3,$3.00,$3.67,$3.57,$5.00,15,69,12,31,60,6,16,20,A,0,35,,F,U,"$56,500",32,"$40,898"
0,00004132,,4,21,2,9,$10.00,$14.75,$10.95,$17.50,19,111,30,51,103,6,17,29,A,1,50,71,F,U,"$89,400",24,"$40,898"
0,00016138,,5,18,2,8,$15.00,$15.00,$12.61,$15.00,17,75,13,35,64,6,17,24,S,1,40,41,M,H,"$67,900",40,"$40,898"
1,00016175,$30.00,1,1,1,1,$25.00,$25.00,$25.00,$25.00,24,24,6,16,14,2,6,5,N,0,50,69,F,U,"$44,400",15,"$45,566"
0,00016215,,2,19,0,8,$10.00,$10.00,$9.74,,26,92,10,32,59,5,5,24,A,1,40,71,M,H,"$76,900",34,$0
0,00016230,,3,3,1,1,$25.00,$21.67,$21.67,$25.00,24,30,12,27,24,6,13,11,A,0,47,,M,U,"$53,100",28,"$39,914"
1,00016247,$10.00,3,13,2,10,$10.00,$10.00,$8.92,$10.00,20,110,13,30,57,6,13,23,S,1,43,,U,U,"$57,600",19,$0
1,00015800,$5.00,11,38,7,23,$5.00,$5.09,$4.97,$5.14,15,127,14,34,83,7,18,34,S,1,35,69,F,H,"$66,900",40,"$42,537"
1,00016329,$7.00,5,15,1,6,$5.00,$5.60,$4.87,$6.00,15,97,12,31,64,5,13,26,S,1,39,50,F,H,"$68,300",25,"$49,836"
1,00016973,$8.00,6,38,4,15,$9.00,$7.83,$6.39,$7.75,17,128,10,30,78,5,16,31,S,1,40,,F,U,"$102,400",29,$0
0,00016394,,1,20,0,11,$15.00,$15.00,$10.70,,21,124,12,30,76,6,6,29,A,1,24,47,M,H,"$138,100",20,"$49,601"
0,00016480,,4,18,1,10,$15.00,$15.00,$9.11,$15.00,24,123,11,33,70,6,17,32,A,1,32,65,F,H,"$45,900",21,"$45,037"
0,00016450,,3,3,0,0,$21.00,$13.67,$13.67,,15,32,12,25,25,5,5,9,A,0,32,73,M,U,"$50,600",8,"$45,037"
1,00188284,$5.00,3,20,1,10,$10.00,$5.67,$5.10,$5.00,6,121,19,37,79,7,14,29,S,1,22,59,F,H,"$298,900",28,"$53,517"
1,00015648,$20.00,3,22,2,14,$16.00,$14.67,$8.95,$15.50,22,130,13,35,73,6,17,33,A,1,28,,F,H,"$249,000",22,"$73,547"
0,00015720,,3,5,2,4,$15.00,$13.33,$10.00,$12.50,26,45,10,29,37,5,15,15,A,1,44,29,F,H,"$126,400",36,"$73,547"
0,00016532,,1,2,1,1,$15.00,$3.00,$9.00,$3.00,25,30,11,23,22,4,9,8,A,0,24,54,M,H,"$121,400",24,"$73,547"
0,00016562,,4,7,2,4,$9.00,$7.75,$6.29,$8.00,16,45,15,34,37,6,15,15,A,1,15,60,F,H,"$95,900",11,"$51,354"
1,00016643,$12.50,3,3,1,1,$15.00,$13.67,$13.67,$16.00,18,27,12,26,23,6,13,11,N,0,24,83,F,H,"$89,500",25,"$66,208"
1,00188246,$10.00,4,20,3,11,$10.00,$11.25,$7.85,$10.00,18,109,6,14,43,2,6,19,E,1,24,,M,U,"$93,700",44,$0
0,00016662,,2,5,1,4,$20.00,$16.00,$10.80,$20.00,20,63,13,32,45,6,14,17,A,0,43,,U,U,"$57,300",24,"$45,926"
0,00018300,,1,6,0,2,$20.00,$20.00,$17.83,,18,110,13,32,62,6,6,26,A,0,35,43,M,H,"$101,900",31,"$78,801"
0,00016688,,2,3,1,1,$10.00,$7.50,$7.00,$5.00,16,21,11,18,16,5,8,7,N,0,35,43,F,H,"$101,800",28,"$67,969"
0,00016723,,3,3,2,2,$20.00,$14.33,$14.33,$16.50,16,29,8,23,24,4,12,10,A,0,22,,F,U,"$92,500",14,"$38,494"
0,00016764,,1,8,0,2,$15.00,$25.00,$14.88,,18,68,13,32,54,6,6,21,A,0,12,35,F,H,"$102,800",26,"$82,719"
1,00016771,$5.00,3,18,1,11,$5.00,$5.00,$4.72,$5.00,19,111,5,18,50,2,7,19,S,1,35,77,F,H,"$201,800",32,"$82,719"
1,00016774,$10.00,6,28,4,17,$10.00,$10.50,$8.75,$10.75,16,126,15,35,86,6,17,34,S,1,17,44,F,H,"$78,600",18,"$82,719"
1,00016777,$35.00,2,2,1,1,$25.00,$15.00,$15.00,$5.00,15,29,10,20,20,3,7,7,E,0,11,45,F,H,"$96,400",29,$0
1,00016813,$10.00,4,5,2,2,$6.00,$6.75,$6.60,$6.00,15,24,13,22,21,5,9,8,N,1,24,72,M,U,"$124,500",27,$0
0,00024281,,2,10,1,5,$15.00,$15.00,$9.60,$15.00,18,120,14,33,62,6,15,25,A,1,38,,F,U,"$194,700",28,"$78,656"
0,00016837,,1,17,0,8,$15.00,$15.00,$9.59,,18,86,12,25,58,5,5,21,A,1,22,43,F,H,"$161,000",20,"$78,656"
1,00188155,$8.00,5,20,4,13,$7.00,$6.80,$6.05,$6.75,16,102,6,14,41,2,6,19,E,1,22,,U,U,"$161,000",20,$0
1,00190040,$12.00,2,2,2,2,$15.00,$12.50,$12.50,$12.50,16,24,4,9,9,2,5,5,E,1,22,,M,U,"$161,000",20,$0
1,00016863,$50.00,3,4,3,4,$25.00,$18.33,$15.00,$18.33,16,44,16,32,39,6,14,14,A,0,22,64,F,U,"$95,100",10,"$73,793"
1,00016972,$12.00,3,20,2,11,$10.00,$8.50,$10.59,$10.00,23,130,13,31,75,6,14,29,S,1,44,39,M,U,"$62,100",23,"$56,388"
0,00016889,,2,7,1,3,$15.00,$12.50,$12.14,$10.00,19,76,14,28,50,6,12,18,A,0,49,34,F,U,"$73,900",16,"$56,388"
0,00088361,,2,6,1,2,$19.00,$18.00,$11.00,$19.00,17,73,14,29,49,6,12,17,A,0,13,54,U,U,"$86,000",29,$0
0,00016946,,3,3,2,2,$20.00,$14.00,$14.00,$15.00,17,34,12,29,26,6,14,12,A,0,35,55,F,H,"$86,000",29,"$60,293"
0,00017021,,1,1,1,1,$15.00,$15.00,$15.00,$15.00,16,16,11,16,13,4,6,5,F,0,40,37,M,U,"$86,400",36,"$43,934"
1,00017089,$5.00,5,7,3,4,$5.00,$6.00,$6.00,$6.67,19,52,12,31,38,6,14,16,S,1,44,,F,U,"$60,900",12,"$43,241"
1,00017094,$15.00,2,2,0,0,$16.00,$13.00,$13.00,,18,28,10,23,21,4,4,9,A,0,35,57,F,H,"$89,700",29,"$57,017"
1,00017102,$7.00,5,13,1,4,$6.00,$6.80,$5.69,$7.00,22,56,12,34,46,6,17,20,S,1,39,,F,U,"$68,500",24,$0
0,00017117,,4,14,2,6,$10.00,$9.25,$5.29,$10.00,15,122,13,31,52,6,13,22,S,1,51,53,F,H,"$58,000",33,"$42,412"
0,00017118,,1,1,0,0,$15.00,$15.00,$15.00,,15,15,8,10,10,2,2,3,E,0,46,,M,U,"$67,500",26,"$41,189"
1,00017145,$20.00,1,1,1,1,$20.00,$20.00,$20.00,$20.00,16,16,12,17,14,5,7,6,F,0,50,,F,U,"$49,700",24,"$40,197"
1,00017217,$10.00,3,17,3,9,$10.00,$6.67,$6.71,$6.67,18,63,13,33,61,5,15,21,A,1,49,67,M,U,"$62,100",19,"$40,308"
1,00016756,$15.00,4,5,2,3,$10.00,$13.00,$15.40,$11.00,15,44,14,35,43,6,16,16,A,1,17,29,M,H,"$54,200",32,"$43,084"
1,00024311,$3.00,2,9,2,7,$16.00,$16.50,$10.22,$16.50,24,105,11,29,60,5,14,25,A,0,42,,F,U,"$87,700",39,$0
0,00017268,,3,23,1,10,$10.00,$10.00,$6.09,$10.00,24,130,12,33,74,6,16,32,S,1,50,46,M,H,"$45,000",23,"$29,767"
0,00017283,,3,17,1,6,$3.00,$10.00,$4.71,$10.00,18,105,13,34,65,6,17,27,S,1,49,39,U,U,"$61,700",24,$0
0,00017279,,2,2,1,1,$20.00,$15.00,$15.00,$10.00,16,29,12,25,23,5,11,10,A,0,44,52,M,U,"$72,800",30,"$51,138"
1,00017255,$20.00,1,7,1,5,$16.00,$16.00,$12.71,$16.00,15,77,14,31,54,5,12,19,A,1,34,,F,U,"$73,500",29,"$54,339"
0,00017333,,4,7,2,3,$12.00,$12.00,$11.29,$12.00,16,41,13,33,37,6,16,15,A,0,40,50,F,U,"$82,800",21,"$53,597"
1,00017452,$32.00,4,7,3,5,$40.00,$27.50,$18.86,$28.33,18,45,25,46,70,10,20,27,L,1,25,,F,U,"$83,200",27,"$53,597"
1,00017378,$15.00,1,4,1,3,$20.00,$20.00,$11.25,$20.00,17,53,14,31,38,6,14,15,A,0,34,31,F,H,"$106,400",25,"$53,635"
0,00017517,,1,4,1,3,$15.00,$15.00,$12.25,$15.00,16,64,12,28,45,4,10,14,A,0,35,,F,U,"$87,300",24,$0
1,00017418,$13.00,3,4,3,3,$11.00,$11.00,$9.75,$11.00,16,27,13,27,27,6,13,11,A,0,15,43,F,H,"$85,300",14,"$65,546"
0,00017435,,1,1,1,1,$25.00,$25.00,$25.00,$25.00,16,16,12,16,13,5,7,6,F,0,25,38,M,H,"$92,700",7,"$73,864"
0,00017511,,1,2,1,1,$20.00,$20.00,$17.50,$20.00,27,33,10,25,25,4,10,10,A,0,35,33,M,H,"$86,800",22,"$40,491"
0,00017590,,1,11,1,8,$30.00,$30.00,$19.55,$30.00,20,105,14,29,71,6,13,26,A,1,35,49,F,H,"$167,600",24,"$86,922"
0,00017608,,4,16,3,10,$12.00,$11.50,$8.13,$11.33,22,119,13,35,72,6,17,32,S,1,35,58,F,H,"$188,500",32,"$108,658"
1,00005331,$14.00,9,22,7,11,$15.00,$13.33,$11.55,$13.00,4,112,30,50,102,11,22,41,S,1,24,,U,U,"$161,800",30,"$84,071"
0,00017636,,2,6,1,4,$20.00,$20.00,$16.67,$20.00,18,74,13,33,53,6,16,22,A,0,22,,M,H,"$107,700",27,"$84,071"
0,00017363,,2,2,1,1,$15.00,$15.00,$15.00,$15.00,20,29,10,23,21,4,10,9,A,0,17,32,M,U,"$80,100",30,"$55,991"
0,00017367,,6,7,5,5,$7.00,$9.33,$8.43,$9.80,19,35,12,31,31,6,16,14,S,1,40,31,M,H,"$91,200",24,"$55,991"
0,00017578,,4,4,4,4,$10.00,$10.00,$10.00,$10.00,20,33,13,31,31,6,14,12,A,1,35,31,F,H,"$127,400",24,$0
0,00017664,,1,1,0,0,$20.00,$20.00,$20.00,,15,15,8,10,10,3,3,4,E,0,32,59,F,H,"$57,400",30,"$25,742"
1,00017714,$26.00,2,7,1,4,$21.00,$21.00,$12.43,$21.00,17,87,15,33,59,6,14,23,A,1,11,66,F,H,"$77,000",30,"$43,231"
0,00188727,,3,11,2,4,$10.00,$15.00,$11.91,$15.50,5,69,12,34,53,6,17,21,A,1,32,67,F,U,"$56,700",28,"$43,231"
1,00186462,$8.00,3,28,2,17,$10.00,$5.00,$4.29,$5.00,4,129,19,37,82,6,14,31,S,1,40,81,F,H,"$65,400",23,"$43,231"
0,00014124,,1,22,1,5,$15.00,$15.00,$11.95,$15.00,4,147,18,35,85,7,14,30,A,0,24,75,M,U,"$134,800",27,"$57,000"
0,00005960,,2,12,2,7,$20.00,$18.00,$12.83,$18.00,17,101,20,39,90,6,16,25,A,1,23,46,M,H,"$150,400",57,"$57,000"
1,00017791,$25.00,2,4,2,3,$25.00,$25.00,$25.00,$25.00,18,44,13,34,38,6,17,17,A,0,24,58,F,H,"$96,900",18,"$50,858"
1,00017772,$10.00,2,2,1,1,$5.00,$10.00,$10.00,$15.00,20,21,11,18,16,4,7,6,N,0,24,87,F,H,"$260,200",43,"$50,858"
0,00017782,,3,5,2,2,$15.00,$13.33,$10.80,$12.50,18,33,12,30,30,6,15,13,A,0,15,40,F,U,"$94,000",15,$0
0,00017820,,2,29,2,10,$10.00,$10.00,$9.17,$10.00,22,128,13,35,80,6,17,34,S,1,14,,F,U,"$111,600",26,$0
0,00017833,,2,2,0,0,$15.00,$12.50,$12.50,,18,28,12,26,23,5,5,10,A,0,12,70,F,H,"$98,800",37,"$72,359"
0,00017872,,4,15,2,9,$25.00,$14.25,$15.40,$10.00,15,130,13,34,73,6,16,31,S,1,34,79,F,H,"$90,900",31,"$67,280"
0,00016733,,4,20,1,11,$20.00,$20.00,$16.70,$20.00,17,126,15,36,75,6,17,30,S,1,22,,U,H,"$121,900",18,"$67,280"
0,00017898,,3,4,1,1,$4.00,$6.33,$5.50,$5.00,16,24,13,24,21,6,11,9,N,0,32,59,F,H,"$56,900",18,"$32,482"
0,00017881,,4,4,1,1,$14.00,$9.25,$9.25,$11.00,19,31,13,27,24,6,12,10,A,1,32,41,F,H,"$48,000",26,"$32,482"
1,00017921,$8.00,5,7,3,4,$9.00,$8.20,$7.29,$8.33,16,41,13,33,34,6,15,15,A,0,28,69,F,H,"$73,200",41,"$49,658"
0,00017961,,2,15,0,9,$10.00,$12.00,$8.80,,16,126,12,32,74,5,5,32,A,1,47,,F,U,"$45,100",19,"$36,806"
0,00018055,,3,6,1,3,$20.00,$15.00,$9.50,$10.00,27,65,11,30,43,5,14,17,A,0,47,,M,U,"$53,600",25,"$41,021"
0,00188333,,0,9,0,4,$25.00,$0.00,$16.00,,6,85,23,23,68,8,8,27,A,1,50,73,U,U,"$43,700",30,$0
0,00017988,,3,15,2,9,$20.00,$25.67,$19.73,$25.00,18,117,13,30,71,5,14,29,S,1,50,,M,H,"$39,600",21,"$28,519"
0,00018019,,1,1,1,1,$20.00,$20.00,$20.00,$20.00,25,25,7,17,15,3,7,6,N,0,39,29,M,H,"$58,700",24,"$43,818"
1,00018038,$16.00,2,8,2,7,$16.00,$15.50,$12.38,$15.50,25,77,11,32,60,6,17,22,A,1,47,,U,U,"$54,800",30,$0
0,00018067,,2,9,0,6,$15.00,$13.50,$8.00,,19,130,12,26,61,5,5,24,A,1,47,67,F,H,"$62,500",27,"$44,461"
1,00018104,$12.00,3,11,1,8,$13.00,$12.33,$10.55,$13.00,16,123,13,30,67,6,13,29,S,1,22,43,M,U,"$91,500",18,"$59,375"
1,00018089,$25.00,5,9,5,8,$17.00,$16.60,$13.78,$16.60,21,76,14,32,55,6,16,22,A,1,22,47,M,H,"$99,400",19,"$59,375"
0,00018091,,3,9,1,6,$25.00,$21.67,$15.78,$20.00,27,81,11,32,58,5,16,23,A,1,22,61,M,H,"$81,000",34,"$59,375"
