Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,15279481,0,"Thursday, January 31, 2013 13:14:18 UTC",33.5957,-116.8233,1.0,30.40,20,"Southern California"
nn,00401361,1,"Thursday, January 31, 2013 13:06:49 UTC",37.3935,-117.1977,1.3,27.60, 7,"Nevada"
nn,00401360,9,"Thursday, January 31, 2013 13:04:13 UTC",37.3492,-117.1348,1.0,12.00,13,"Nevada"
ak,10647873,1,"Thursday, January 31, 2013 12:24:38 UTC",64.6700,-149.3564,1.2,18.80, 7,"Central Alaska"
ci,15279457,0,"Thursday, January 31, 2013 12:23:24 UTC",34.1280,-116.9453,1.0,6.40,24,"Southern California"
ci,15279449,0,"Thursday, January 31, 2013 12:19:05 UTC",33.0292,-116.4265,1.0,9.60,24,"Southern California"
us,c000ez6v,5,"Thursday, January 31, 2013 12:10:50 UTC",-4.4873,138.2733,4.6,84.10,28,"Papua, Indonesia"
ak,10647869,1,"Thursday, January 31, 2013 12:00:39 UTC",64.1814,-150.9416,1.3,10.30, 5,"Central Alaska"
nc,71932176,1,"Thursday, January 31, 2013 11:53:57 UTC",37.3308,-122.1330,1.9,7.10,21,"San Francisco Bay area, California"
ak,10647865,1,"Thursday, January 31, 2013 11:45:58 UTC",62.3679,-150.0314,1.7,13.50,10,"Central Alaska"
nc,71932171,0,"Thursday, January 31, 2013 11:41:59 UTC",38.7882,-122.7632,1.4,1.20,17,"Northern California"
nn,00401354,9,"Thursday, January 31, 2013 11:00:39 UTC",37.3685,-117.1389,1.7,7.80,17,"Nevada"
ak,10647856,1,"Thursday, January 31, 2013 10:44:39 UTC",64.9484,-147.6343,1.0,11.10, 6,"Central Alaska"
nc,71932166,4,"Thursday, January 31, 2013 10:40:19 UTC",39.0137,-123.4622,1.3,5.20,11,"Northern California"
nc,71932161,0,"Thursday, January 31, 2013 10:31:22 UTC",38.8475,-122.8228,1.0,1.80,14,"Northern California"
ak,10647843,1,"Thursday, January 31, 2013 10:25:04 UTC",63.0043,-150.6745,2.5,128.20,40,"Central Alaska"
us,c000ez5u,3,"Thursday, January 31, 2013 10:20:04 UTC",-1.7628,-12.9574,4.8,10.00,29,"north of Ascension Island"
us,c000ez52,6,"Thursday, January 31, 2013 09:53:43 UTC",55.5844,-134.7450,6.0,9.70,487,"Southeastern Alaska"
nc,71932151,0,"Thursday, January 31, 2013 09:38:20 UTC",38.8150,-122.8177,1.1,3.30,21,"Northern California"
ci,15279425,2,"Thursday, January 31, 2013 09:28:41 UTC",33.2227,-115.6263,1.6,5.70,11,"Southern California"
uu,60011967,5,"Thursday, January 31, 2013 09:23:38 UTC",44.8090,-110.9778,1.1,10.40,12,"Yellowstone National Park, Wyoming"
nc,71932131,3,"Thursday, January 31, 2013 09:08:07 UTC",36.5597,-121.0745,2.0,8.90,49,"Central California"
ak,10647818,1,"Thursday, January 31, 2013 08:55:45 UTC",59.7592,-152.2661,1.9,47.30, 7,"Southern Alaska"
us,c000ez4g,4,"Thursday, January 31, 2013 08:27:28 UTC",-7.2713,144.0844,4.3,33.30,20,"near the south coast of New Guinea, Papua New Guinea"
hv,60461566,1,"Thursday, January 31, 2013 08:22:20 UTC",19.7658,-155.4437,2.4,27.70,44,"Island of Hawaii, Hawaii"
uu,60011957,4,"Thursday, January 31, 2013 08:20:19 UTC",44.8158,-110.9787,1.7,12.50,16,"Yellowstone National Park, Wyoming"
ci,15279417,2,"Thursday, January 31, 2013 08:06:33 UTC",33.3913,-116.8447,2.8,7.10,143,"Southern California"
us,c000ez43,9,"Thursday, January 31, 2013 08:04:08 UTC",39.8641,19.7467,4.5,10.00,34,"Kerkira region, Greece"
nc,71932111,0,"Thursday, January 31, 2013 08:04:05 UTC",38.7475,-122.6922,1.0,1.60, 8,"Northern California"
nc,71932106,1,"Thursday, January 31, 2013 08:02:10 UTC",38.7483,-122.7093,1.8,2.40,26,"Northern California"
nc,71932101,0,"Thursday, January 31, 2013 07:56:41 UTC",37.4907,-121.8188,1.3,9.10, 8,"San Francisco Bay area, California"
uu,60011947,4,"Thursday, January 31, 2013 07:54:37 UTC",44.8205,-110.9842,1.2,10.90,13,"Yellowstone National Park, Wyoming"
uu,60011942,4,"Thursday, January 31, 2013 07:22:09 UTC",44.8093,-110.9715,1.6,12.10,15,"Yellowstone National Park, Wyoming"
ak,10647796,1,"Thursday, January 31, 2013 07:01:31 UTC",63.5301,-147.3096,1.5,0.00,14,"Central Alaska"
ak,10647794,1,"Thursday, January 31, 2013 06:57:54 UTC",63.7943,-150.2995,1.6,0.00,14,"Central Alaska"
us,c000ez3n,5,"Thursday, January 31, 2013 06:50:16 UTC",-10.4181,166.2512,4.9,35.00,57,"Santa Cruz Islands"
ak,10647788,1,"Thursday, January 31, 2013 06:46:41 UTC",60.7725,-151.1424,1.9,54.50,13,"Kenai Peninsula, Alaska"
us,c000ez35,9,"Thursday, January 31, 2013 06:42:10 UTC",-10.7132,166.3856,5.1,35.20,196,"Santa Cruz Islands"
ak,10647778,1,"Thursday, January 31, 2013 05:50:07 UTC",60.6306,-147.3975,2.0,7.10,11,"Southern Alaska"
ci,15279385,2,"Thursday, January 31, 2013 05:25:50 UTC",32.4647,-115.5607,1.8,17.10,18,"Baja California, Mexico"
us,c000ez22,9,"Thursday, January 31, 2013 05:18:14 UTC",-10.5668,166.4465,5.4,45.70,237,"Santa Cruz Islands"
us,c000ez2t,4,"Thursday, January 31, 2013 05:16:58 UTC",-10.5025,166.2009,5.0,25.00,135,"Santa Cruz Islands"
ak,10647752,1,"Thursday, January 31, 2013 05:12:51 UTC",65.7948,-151.1121,2.0,0.50,12,"northern Alaska"
us,c000ez1s,5,"Thursday, January 31, 2013 05:10:52 UTC",-28.0531,-70.9271,4.6,46.10,24,"Atacama, Chile"
ci,15279369,2,"Thursday, January 31, 2013 04:59:38 UTC",32.6880,-115.8165,1.3,8.70,17,"Southern California"
ak,10647740,1,"Thursday, January 31, 2013 04:35:05 UTC",60.1827,-151.2743,2.6,60.70,37,"Kenai Peninsula, Alaska"
us,c000ez19,6,"Thursday, January 31, 2013 04:31:33 UTC",-10.9342,165.4181,5.6,32.90,47,"Santa Cruz Islands"
nc,71932011,1,"Thursday, January 31, 2013 04:28:51 UTC",37.4585,-118.6345,1.9,18.00,32,"Central California"
nc,71932016,0,"Thursday, January 31, 2013 04:28:38 UTC",37.4623,-118.6267,1.4,16.90, 8,"Central California"
us,c000ez14,3,"Thursday, January 31, 2013 04:15:55 UTC",-27.8784,-70.9409,4.5,26.80,36,"Atacama, Chile"
us,c000ez13,5,"Thursday, January 31, 2013 04:10:46 UTC",-4.6131,102.5153,5.0,51.70,50,"southern Sumatra, Indonesia"
uw,60503441,3,"Thursday, January 31, 2013 04:01:13 UTC",46.2847,-122.2080,2.6,5.00,43,"Mount St. Helens area, Washington"
us,c000ez11,8,"Thursday, January 31, 2013 03:58:00 UTC",-10.6802,166.3910,5.6,35.10,268,"Santa Cruz Islands"
us,c000ez0w,9,"Thursday, January 31, 2013 03:33:43 UTC",-10.6277,166.3821,6.2,9.20,414,"Santa Cruz Islands"
nc,71931996,0,"Thursday, January 31, 2013 03:28:39 UTC",37.9870,-122.0680,1.5,15.40,13,"San Francisco Bay area, California"
nc,71931981,1,"Thursday, January 31, 2013 03:11:27 UTC",38.8170,-122.8240,1.4,2.80,26,"Northern California"
nc,71931976,0,"Thursday, January 31, 2013 02:57:32 UTC",37.9883,-122.0520,1.8,15.20,19,"San Francisco Bay area, California"
us,c000eyzc,9,"Thursday, January 31, 2013 02:45:00 UTC",-28.5044,-67.3649,4.8,117.70,35,"La Rioja, Argentina"
us,c000eyyd,6,"Thursday, January 31, 2013 02:26:20 UTC",49.8770,150.7514,4.3,355.50,48,"northwest of the Kuril Islands"
nc,71931951,1,"Thursday, January 31, 2013 02:12:13 UTC",37.4850,-118.8370,1.8,7.50,28,"Central California"
nc,71931956,0,"Thursday, January 31, 2013 02:11:54 UTC",38.8290,-122.7985,1.2,2.40,22,"Northern California"
ci,15279329,2,"Thursday, January 31, 2013 02:10:16 UTC",34.1528,-116.4257,1.3,11.00,84,"Southern California"
ak,10647683,1,"Thursday, January 31, 2013 01:59:59 UTC",61.7629,-149.9871,2.1,28.40,21,"Southern Alaska"
ak,10647685,1,"Thursday, January 31, 2013 01:59:37 UTC",63.6339,-150.7918,1.7,6.60, 8,"Central Alaska"
hv,60461446,2,"Thursday, January 31, 2013 01:49:36 UTC",19.3353,-155.0848,2.3,6.40,38,"Island of Hawaii, Hawaii"
ak,10647670,1,"Thursday, January 31, 2013 01:48:18 UTC",60.3708,-152.8349,2.7,119.70,26,"Southern Alaska"
ak,10647656,1,"Thursday, January 31, 2013 01:38:24 UTC",63.9331,-148.8472,2.3,0.00,28,"Central Alaska"
uu,60011917,4,"Thursday, January 31, 2013 01:33:44 UTC",37.8803,-113.2015,1.1,8.40,15,"Utah"
nc,71931911,0,"Thursday, January 31, 2013 01:30:07 UTC",37.6280,-118.8723,1.2,9.20,16,"Long Valley area, California"
nc,71931896,0,"Thursday, January 31, 2013 01:28:10 UTC",37.6282,-118.8713,1.3,8.90,18,"Long Valley area, California"
nc,71931866,3,"Thursday, January 31, 2013 01:17:11 UTC",36.5997,-121.1993,2.3,2.90,64,"Central California"
pr,13031000,0,"Thursday, January 31, 2013 01:12:08 UTC",18.8897,-64.4533,2.9,38.00, 4,"Virgin Islands region"
ak,10647628,1,"Thursday, January 31, 2013 01:05:33 UTC",61.2339,-150.8160,2.2,42.50,22,"Southern Alaska"
uw,60503391,3,"Thursday, January 31, 2013 01:03:17 UTC",45.9195,-122.4088,3.7,7.60,42,"Washington"
ci,15279313,2,"Thursday, January 31, 2013 00:31:43 UTC",35.0280,-117.6747,1.6,0.00,23,"Southern California"
ak,10647608,1,"Thursday, January 31, 2013 00:27:50 UTC",62.7614,-149.1489,1.5,85.10,17,"Central Alaska"
ak,10647607,1,"Thursday, January 31, 2013 00:24:21 UTC",62.1908,-148.0740,1.5,29.60, 8,"Central Alaska"
nc,71931831,0,"Thursday, January 31, 2013 00:22:38 UTC",38.8215,-122.7645,1.2,1.10,18,"Northern California"
ci,15279305,2,"Thursday, January 31, 2013 00:18:55 UTC",33.8873,-115.9873,1.1,5.10,41,"Southern California"
ak,10647600,1,"Thursday, January 31, 2013 00:17:00 UTC",65.0436,-147.3529,1.4,14.70, 8,"northern Alaska"
nc,71931826,1,"Thursday, January 31, 2013 00:14:11 UTC",38.8393,-122.8380,1.5,2.80,32,"Northern California"
ak,10647586,1,"Wednesday, January 30, 2013 23:59:37 UTC",63.3183,-145.3149,1.8,8.00,12,"Central Alaska"
us,c000eyvv,5,"Wednesday, January 30, 2013 23:53:54 UTC",-10.5647,166.4376,4.6,15.00,48,"Santa Cruz Islands"
us,c000eyvb,8,"Wednesday, January 30, 2013 23:34:30 UTC",-16.0107,-74.8150,4.7,26.30,48,"near the coast of southern Peru"
nc,71931806,0,"Wednesday, January 30, 2013 23:28:42 UTC",38.8367,-122.7835,1.0,2.00,16,"Northern California"
nc,71931801,0,"Wednesday, January 30, 2013 23:28:12 UTC",38.8363,-122.7843,1.4,2.00,22,"Northern California"
us,c000eyur,A,"Wednesday, January 30, 2013 23:03:45 UTC",-10.5183,166.4862,6.0,10.00,213,"Santa Cruz Islands"
ak,10647444,1,"Wednesday, January 30, 2013 22:56:59 UTC",63.0391,-151.4547,1.5,7.80, 7,"Central Alaska"
ak,10647439,1,"Wednesday, January 30, 2013 22:39:46 UTC",62.4793,-148.6764,1.0,120.00, 4,"Central Alaska"
ak,10647430,1,"Wednesday, January 30, 2013 22:27:20 UTC",62.0979,-150.2266,1.8,37.80,16,"Central Alaska"
nc,71931781,1,"Wednesday, January 30, 2013 22:11:35 UTC",38.8455,-122.8265,1.8,2.30,30,"Northern California"
ak,10647414,1,"Wednesday, January 30, 2013 21:46:56 UTC",63.4697,-147.2132,1.4,24.60, 5,"Central Alaska"
ci,15279257,2,"Wednesday, January 30, 2013 21:43:53 UTC",32.7687,-116.5752,1.1,17.80,16,"Southern California"
ak,10647408,1,"Wednesday, January 30, 2013 21:33:18 UTC",62.2274,-145.6000,1.9,0.00, 9,"Central Alaska"
ci,15279249,2,"Wednesday, January 30, 2013 21:14:01 UTC",33.7790,-116.1547,1.0,9.00,46,"Southern California"
ak,10647255,1,"Wednesday, January 30, 2013 21:09:58 UTC",59.1073,-152.5893,3.0,58.50,26,"Southern Alaska"
nc,71931736,1,"Wednesday, January 30, 2013 21:05:36 UTC",38.8162,-122.8192,2.0,2.10,39,"Northern California"
ak,10647235,1,"Wednesday, January 30, 2013 20:20:35 UTC",63.5425,-147.3276,2.3,0.00,32,"Central Alaska"
us,c000eyp3,D,"Wednesday, January 30, 2013 20:15:43 UTC",-28.1812,-70.8002,6.8,45.70,598,"Atacama, Chile"
pr,13030004,0,"Wednesday, January 30, 2013 20:07:39 UTC",19.3710,-68.4885,3.8,71.00,11,"Dominican Republic region"
us,c000eynp,6,"Wednesday, January 30, 2013 20:02:04 UTC",-23.5507,-179.9682,4.6,562.00,122,"south of the Fiji Islands"
ci,15279217,2,"Wednesday, January 30, 2013 19:52:09 UTC",31.6358,-114.4665,3.3,10.00, 5,"Gulf of California"
nc,71931706,0,"Wednesday, January 30, 2013 19:36:00 UTC",37.3323,-122.1345,1.4,6.50, 8,"San Francisco Bay area, California"
ak,10647216,1,"Wednesday, January 30, 2013 19:28:02 UTC",64.1915,-149.0414,1.3,2.20, 9,"Central Alaska"
nc,71931686,2,"Wednesday, January 30, 2013 19:21:45 UTC",36.0315,-120.6073,1.2,0.00,37,"Central California"
nc,71931681,0,"Wednesday, January 30, 2013 19:20:25 UTC",38.8373,-122.8307,1.3,2.50,24,"Northern California"
nc,71931676,1,"Wednesday, January 30, 2013 19:17:56 UTC",38.8352,-122.8313,1.7,2.40,28,"Northern California"
nc,71931671,0,"Wednesday, January 30, 2013 19:10:15 UTC",38.8272,-122.8557,1.0,2.70,21,"Northern California"
nc,71931661,2,"Wednesday, January 30, 2013 18:57:51 UTC",37.3205,-122.1058,1.2,0.00, 9,"San Francisco Bay area, California"
ci,15279201,2,"Wednesday, January 30, 2013 18:51:39 UTC",33.0083,-116.3135,1.9,12.40,93,"Southern California"
ci,15279129,2,"Wednesday, January 30, 2013 17:52:44 UTC",34.1558,-116.4262,1.3,11.20,53,"Southern California"
nn,00401263,9,"Wednesday, January 30, 2013 17:47:48 UTC",38.4501,-119.3080,1.2,6.10,10,"Central California"
us,c000eyit,6,"Wednesday, January 30, 2013 17:32:55 UTC",36.6463,96.5500,4.7,13.70,52,"northern Qinghai, China"
ci,15279033,2,"Wednesday, January 30, 2013 17:30:36 UTC",34.1542,-116.4288,1.3,11.70,58,"Southern California"
nc,71931606,2,"Wednesday, January 30, 2013 17:29:27 UTC",37.6382,-119.3725,1.2,14.30,17,"Central California"
ak,10647157,2,"Wednesday, January 30, 2013 16:52:13 UTC",62.0327,-145.1997,2.4,17.90,14,"Central Alaska"
nc,71932346,2,"Wednesday, January 30, 2013 16:48:44 UTC",37.6510,-119.3718,1.1,6.90,13,"Central California"
nc,71931581,4,"Wednesday, January 30, 2013 16:39:18 UTC",37.6165,-119.3742,1.1,8.40,15,"Central California"
pr,13030003,0,"Wednesday, January 30, 2013 16:36:59 UTC",18.4311,-64.0678,2.8,37.00, 5,"Virgin Islands region"
nc,71931571,0,"Wednesday, January 30, 2013 16:36:59 UTC",38.8425,-122.8315,1.1,2.40,19,"Northern California"
nc,71931576,2,"Wednesday, January 30, 2013 16:35:21 UTC",36.5543,-121.0740,1.2,7.00,11,"Central California"
ci,15279017,2,"Wednesday, January 30, 2013 16:30:00 UTC",33.9838,-117.1752,1.0,12.60,48,"Greater Los Angeles area, California"
hv,60461226,4,"Wednesday, January 30, 2013 15:54:25 UTC",19.9782,-155.4143,1.7,8.00,19,"Island of Hawaii, Hawaii"
ak,10647140,1,"Wednesday, January 30, 2013 15:42:36 UTC",61.4802,-149.8571,2.3,42.90,22,"Southern Alaska"
nc,71931541,3,"Wednesday, January 30, 2013 15:38:07 UTC",38.8313,-122.7570,2.1,1.00,56,"Northern California"
us,2013laap,6,"Wednesday, January 30, 2013 15:34:23 UTC",10.5744,126.9572,4.7,37.30,55,"Philippine Islands region"
nc,71931506,1,"Wednesday, January 30, 2013 15:20:16 UTC",38.8237,-122.7608,1.6,1.00,27,"Northern California"
ak,10647129,1,"Wednesday, January 30, 2013 15:18:48 UTC",61.7208,-148.2073,1.3,24.60, 4,"Southern Alaska"
nc,71931501,0,"Wednesday, January 30, 2013 15:18:33 UTC",38.8263,-122.7615,1.1,1.10,14,"Northern California"
nc,71931491,5,"Wednesday, January 30, 2013 15:17:15 UTC",38.8255,-122.7595,2.9,1.50,81,"Northern California"
ci,15279009,2,"Wednesday, January 30, 2013 15:14:00 UTC",34.1760,-117.2762,2.0,3.60,131,"Greater Los Angeles area, California"
us,2013laan,8,"Wednesday, January 30, 2013 15:05:14 UTC",62.4757,-124.4825,4.2,5.00,77,"Northwest Territories, Canada"
nc,71931481,0,"Wednesday, January 30, 2013 14:56:03 UTC",36.6815,-121.3088,1.5,4.70,11,"Central California"
nc,71931476,3,"Wednesday, January 30, 2013 14:51:26 UTC",36.6832,-121.3118,2.4,4.70,56,"Central California"
pr,13030001,0,"Wednesday, January 30, 2013 13:54:41 UTC",17.8591,-66.1946,2.2,8.00, 9,"Puerto Rico region"
us,c000ez34,B,"Wednesday, January 30, 2013 13:37:03 UTC",16.9495,96.1267,3.4,10.00, 4,"near the south coast of Myanmar"
nc,71931426,1,"Wednesday, January 30, 2013 13:31:32 UTC",38.8413,-122.8378,1.1,1.90,24,"Northern California"
us,2013laam,2,"Wednesday, January 30, 2013 13:25:32 UTC",-52.1992,-5.4029,4.9,10.00,15,"southern Mid-Atlantic Ridge"
us,c000eybx,8,"Wednesday, January 30, 2013 12:57:50 UTC",10.4223,126.9224,5.0,35.00,107,"Philippine Islands region"
ak,10647108,1,"Wednesday, January 30, 2013 12:38:44 UTC",61.0355,-150.5322,1.9,22.90,10,"Southern Alaska"
nc,71931411,0,"Wednesday, January 30, 2013 11:57:35 UTC",36.9438,-121.5918,1.2,0.90,11,"Northern California"
ak,10647105,1,"Wednesday, January 30, 2013 11:38:31 UTC",63.1564,-151.4147,1.7,7.70, 8,"Central Alaska"
ak,10647098,1,"Wednesday, January 30, 2013 11:06:33 UTC",63.2326,-148.3682,2.1,76.80,25,"Central Alaska"
ak,10647096,1,"Wednesday, January 30, 2013 10:44:20 UTC",61.1582,-146.9245,2.0,8.70, 5,"Southern Alaska"
nc,71931391,3,"Wednesday, January 30, 2013 10:43:26 UTC",38.8252,-122.8033,2.4,3.30,80,"Northern California"
ak,10647092,1,"Wednesday, January 30, 2013 10:39:09 UTC",57.8792,-153.4440,2.5,15.30,13,"Kodiak Island region, Alaska"
nc,71931376,0,"Wednesday, January 30, 2013 10:33:21 UTC",37.8880,-122.2228,1.2,8.00,15,"San Francisco Bay area, California"
nc,71931371,1,"Wednesday, January 30, 2013 10:30:33 UTC",38.8402,-122.8392,1.2,2.60,25,"Northern California"
ci,15279001,2,"Wednesday, January 30, 2013 10:25:38 UTC",32.9625,-116.3618,1.4,11.10,64,"Southern California"
nc,71931366,1,"Wednesday, January 30, 2013 10:20:19 UTC",38.7573,-122.7243,1.9,2.50,34,"Northern California"
nc,71931361,2,"Wednesday, January 30, 2013 09:57:50 UTC",35.7175,-121.6227,1.8,18.80,24,"offshore Central California"
nc,71932336,2,"Wednesday, January 30, 2013 09:54:54 UTC",37.7075,-119.4322,1.2,3.60,10,"Central California"
nc,71931356,0,"Wednesday, January 30, 2013 09:52:02 UTC",37.9017,-122.2150,1.0,8.70,12,"San Francisco Bay area, California"
ak,10647077,1,"Wednesday, January 30, 2013 09:46:37 UTC",61.0376,-149.8839,2.1,100.00,10,"Southern Alaska"
us,c000ey8l,9,"Wednesday, January 30, 2013 09:33:05 UTC",-26.1595,-69.0427,4.8,24.70,138,"Atacama, Chile"
us,c000ey8j,8,"Wednesday, January 30, 2013 09:27:05 UTC",32.8470,94.7063,5.2,37.10,140,"Xizang-Qinghai border region"
ak,10647072,1,"Wednesday, January 30, 2013 09:04:59 UTC",63.0943,-151.4935,1.5,9.10, 6,"Central Alaska"
nc,71931341,0,"Wednesday, January 30, 2013 08:58:20 UTC",36.4647,-121.0445,1.6,5.30,16,"Central California"
nc,71931331,1,"Wednesday, January 30, 2013 08:54:20 UTC",38.8210,-122.8092,1.2,3.40,28,"Northern California"
nc,71931321,1,"Wednesday, January 30, 2013 07:33:43 UTC",38.8385,-122.8387,1.4,2.60,26,"Northern California"
nc,71931296,1,"Wednesday, January 30, 2013 07:12:57 UTC",38.8210,-122.8083,2.0,3.10,39,"Northern California"
nc,71931291,3,"Wednesday, January 30, 2013 07:09:36 UTC",38.8230,-122.8078,2.0,3.40,61,"Northern California"
ak,10647046,1,"Wednesday, January 30, 2013 06:12:45 UTC",61.6931,-150.3957,2.9,32.70,50,"Southern Alaska"
ak,10647041,1,"Wednesday, January 30, 2013 05:52:23 UTC",63.4764,-145.6370,1.2,19.20, 8,"Central Alaska"
nc,71931241,0,"Wednesday, January 30, 2013 05:21:35 UTC",38.7873,-122.7350,1.2,2.30,17,"Northern California"
ci,15278961,2,"Wednesday, January 30, 2013 04:49:27 UTC",33.0253,-116.4317,1.2,5.10,59,"Southern California"
ak,10647024,1,"Wednesday, January 30, 2013 04:36:37 UTC",58.1358,-153.7266,3.2,88.30,26,"Kodiak Island region, Alaska"
ci,15278953,2,"Wednesday, January 30, 2013 04:34:04 UTC",33.0268,-116.4343,1.5,5.50,81,"Southern California"
us,c000ey3p,5,"Wednesday, January 30, 2013 04:27:25 UTC",38.7662,23.3660,3.9,9.40, 0,"Greece"
ci,15278945,2,"Wednesday, January 30, 2013 04:23:07 UTC",32.1592,-116.0460,1.9,4.60,19,"Baja California, Mexico"
ci,15278937,2,"Wednesday, January 30, 2013 04:22:30 UTC",32.1582,-116.0330,2.1,5.90,23,"Baja California, Mexico"
ci,15278929,2,"Wednesday, January 30, 2013 04:21:22 UTC",32.1658,-116.0233,3.0,3.40,41,"Baja California, Mexico"
uw,60498422,2,"Wednesday, January 30, 2013 04:16:31 UTC",45.4700,-122.8415,1.5,27.60,24,"Portland urban area, Oregon"
us,c000ey2g,7,"Wednesday, January 30, 2013 03:14:28 UTC",43.5664,-127.5984,5.3,10.20,282,"off the coast of Oregon"
ak,10647003,1,"Wednesday, January 30, 2013 03:06:46 UTC",61.4568,-148.2773,2.2,56.30, 9,"Southern Alaska"
nc,71931211,2,"Wednesday, January 30, 2013 03:03:42 UTC",35.4980,-120.7700,1.5,3.50,39,"Central California"
ak,10646996,1,"Wednesday, January 30, 2013 02:55:53 UTC",63.4919,-150.8409,1.9,5.30,10,"Central Alaska"
ak,10646990,1,"Wednesday, January 30, 2013 02:49:50 UTC",59.6559,-153.4941,2.9,169.80,29,"Southern Alaska"
ak,10646984,1,"Wednesday, January 30, 2013 02:37:01 UTC",64.7134,-149.0247,1.6,0.00,11,"Central Alaska"
us,c000ey1i,8,"Wednesday, January 30, 2013 02:32:19 UTC",10.5577,126.6844,5.4,46.00,102,"Philippine Islands region"
ak,10646979,1,"Wednesday, January 30, 2013 01:52:50 UTC",61.1152,-152.2229,1.4,17.40, 8,"Southern Alaska"
ak,10646971,1,"Wednesday, January 30, 2013 01:41:23 UTC",61.8575,-150.8335,2.1,58.80,15,"Southern Alaska"
pr,13030000,0,"Wednesday, January 30, 2013 00:59:26 UTC",18.0393,-67.1741,1.6,17.00, 3,"Puerto Rico"
us,2013laac,7,"Wednesday, January 30, 2013 00:56:31 UTC",52.1213,-174.3927,4.6,75.80,178,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10646933,2,"Wednesday, January 30, 2013 00:53:51 UTC",63.9184,-148.8177,2.0,10.00,11,"Central Alaska"
ak,10646924,1,"Wednesday, January 30, 2013 00:43:32 UTC",60.6540,-152.1012,2.5,112.20,23,"Southern Alaska"
ci,15278865,2,"Wednesday, January 30, 2013 00:30:16 UTC",35.0440,-117.6743,1.4,0.00,13,"Southern California"
nn,00401230,9,"Wednesday, January 30, 2013 00:22:27 UTC",37.1189,-117.1090,1.7,6.60,15,"Nevada"
ak,10646913,1,"Wednesday, January 30, 2013 00:13:58 UTC",65.0170,-147.4439,2.0,3.40,11,"northern Alaska"
